"timestamp","count","uniques","collected_at"
"2026-04-25T00:00:00Z","0","0","2026-05-09T23:12:44Z"
"2026-04-26T00:00:00Z","105","53","2026-05-09T23:12:44Z"
"2026-04-27T00:00:00Z","105","49","2026-05-09T23:12:44Z"
"2026-04-28T00:00:00Z","3","3","2026-05-09T23:12:44Z"
"2026-04-29T00:00:00Z","70","28","2026-05-09T23:12:44Z"
"2026-04-30T00:00:00Z","50","20","2026-05-09T23:12:44Z"
"2026-05-01T00:00:00Z","2","2","2026-05-09T23:12:44Z"
"2026-05-02T00:00:00Z","34","20","2026-05-09T23:12:44Z"
"2026-05-03T00:00:00Z","6","5","2026-05-09T23:12:44Z"
"2026-05-04T00:00:00Z","4","3","2026-05-09T23:12:44Z"
"2026-05-05T00:00:00Z","0","0","2026-05-09T23:12:44Z"
"2026-05-06T00:00:00Z","4","3","2026-05-09T23:12:44Z"
"2026-05-07T00:00:00Z","0","0","2026-05-09T23:12:44Z"
"2026-05-08T00:00:00Z","15","8","2026-05-09T23:12:44Z"
"TOTAL","398","194","2026-05-09T23:12:44Z"
